split,model,horizon,RMSE,MAE,R2,daylight_RMSE,n_daylight
test,MLP,2,115.78125594963785,54.5019499918734,0.9904852121371329,159.85638134231777,2292
test,MLP,3,149.2400896991696,73.86540981159652,0.9802347629566467,211.01835739863623,2188
test,MLP,4,170.3838237138948,84.76093460048187,0.9725806918643258,240.89860074011085,2188
test,MLP,5,178.37717973791345,84.26662541862244,0.9747281921592936,252.11130186917066,2188
test,MLP,6,174.77656993124387,75.00211496202469,0.980337313364662,238.71067831012192,2343
test,MLP,7,177.60612995895895,72.24994948342602,0.9807082686073603,239.59588559425995,2398
test,MLP,8,190.68639826885243,81.7356557758099,0.974191030243825,263.29999632988574,2293
test,MLP,9,198.56017360818333,95.4746665030391,0.9650067279166096,280.6343002028424,2189
test,MLP,10,198.77189909537412,100.98507033630112,0.9626768525753288,280.87737765407815,2189
test,MLP,11,190.80827914121528,93.47756956642638,0.9710834523418057,269.5429188098268,2189
test,MLP,12,179.66255166788153,78.5400047886343,0.9792259607175067,245.43609145389786,2344
test,MLP,13,181.80846558073017,75.86916463668864,0.9797885595855532,245.37962443827652,2399
test,MLP,14,196.15534463520842,88.73429855970534,0.9726928943795603,270.6674045334211,2293
test,MLP,15,203.5889587510359,101.3187930679448,0.9632154824795434,287.6612483710346,2189
test,MLP,16,204.99487612094867,105.06510871112124,0.9603016751974092,289.7756690189289,2189
