model,horizon,RMSE,MAE,R2,daylight_RMSE
CatBoost,1,86.57972245187524,35.81814193725586,0.9954155683517456,116.84346165382982
CatBoost,2,120.79958221161198,56.0307502746582,0.9896425604820251,166.84029367556866
CatBoost,3,153.69605252738276,75.37470245361328,0.9790368676185608,217.2748924893302
CatBoost,4,173.2386303538417,85.77074432373047,0.9716541767120361,244.89390240979867
CatBoost,5,177.1577190581178,82.97660827636719,0.9750725626945496,250.42247116123585
CatBoost,6,172.2679031878835,72.81851196289062,0.9808977246284485,235.18469304729422
CatBoost,7,176.72910833921785,71.36653137207031,0.9808983206748962,238.34133873501676
CatBoost,8,191.08414990194765,84.9508285522461,0.9740832448005676,263.5922810421428
CatBoost,9,199.725123607422,97.88700866699219,0.9645949006080627,282.0302787379398
CatBoost,10,200.49138853077955,102.34037017822266,0.9620283246040344,283.0885738156876
CatBoost,11,190.94803571587218,93.02948760986328,0.9710410833358765,269.4971735705219
CatBoost,12,177.95737727051386,76.42303466796875,0.9796184301376343,242.62747132950548
CatBoost,13,180.26041817153038,72.08821868896484,0.9801312685012817,243.1945915825432
CatBoost,14,194.16844933909834,85.74156951904297,0.9732432961463928,268.1739902796317
CatBoost,15,202.76970850573318,99.04026794433594,0.9635109305381775,286.61517373038714
CatBoost,16,203.86509402666263,103.83040618896484,0.9607380628585815,288.1603557483229
CatBoost,17,194.44685167160716,94.28577423095703,0.9699652194976807,274.84434515285193
CatBoost,18,180.94941130914188,77.02140808105469,0.9789230227470398,247.14320083455664
CatBoost,19,182.79127013481798,72.51081085205078,0.9795644879341125,246.84567863849674
CatBoost,20,196.86278731962017,85.93110656738281,0.9724905490875244,271.9839867758762
CatBoost,21,205.5982695391671,99.87422943115234,0.9624863266944885,290.7220939961392
CatBoost,22,206.33717854521515,104.43864440917969,0.9597870111465454,291.7700159157894
CatBoost,23,196.9453743268676,94.6916275024414,0.9691920876502991,278.4901956308337
CatBoost,24,184.64185138058488,77.69081115722656,0.9780541658401489,252.31008482866872
LSTM,1,103.41066022629147,56.92258834838867,0.9934598803520203,137.4783860853225
LSTM,2,128.3240298643438,67.780517578125,0.9883120656013489,175.71545157405765
LSTM,3,156.4781584199533,82.10369873046875,0.9782710671424866,220.30099260727357
LSTM,4,173.16340390834606,91.33139038085938,0.9716787934303284,244.11297493425047
LSTM,5,177.70208566586945,89.45899200439453,0.9749191403388977,250.44851953545265
LSTM,6,174.32638211125703,79.37298583984375,0.9804384708404541,237.7793997989523
LSTM,7,181.1513955921952,82.61972045898438,0.9799304008483887,243.853327458331
LSTM,8,192.59266235698078,90.37267303466797,0.9736724495887756,265.66205623874856
LSTM,9,199.08324067773762,99.84400177001953,0.9648221135139465,281.2584165407322
LSTM,10,198.38969896708346,104.36078643798828,0.9628202319145203,280.2969128888151
LSTM,11,190.46192820023114,97.47480773925781,0.9711883068084717,269.09668046540446
LSTM,12,181.19435568264814,86.21741485595703,0.9788702130317688,247.2049614565816
LSTM,13,185.93575629434486,87.13182067871094,0.9788604974746704,250.30067075669214
LSTM,14,198.01969796272795,93.02283477783203,0.9721713662147522,272.99579323681894
LSTM,15,204.0043944839179,102.95263671875,0.9630652070045471,287.7893923948553
LSTM,16,202.9649369349297,103.4970932006836,0.9610840082168579,286.46649836848286
LSTM,17,194.867703519593,95.0439682006836,0.9698350429534912,274.9467135873786
LSTM,18,184.10170422893972,82.30817413330078,0.9781822562217712,250.81690751173454
LSTM,19,187.67781152150087,80.7624740600586,0.9784572720527649,252.3920097041505
LSTM,20,202.00504712135287,96.83905792236328,0.9710346460342407,277.36901469432377
LSTM,21,211.63955391478692,109.58251953125,0.9602493643760681,297.27731949730037
LSTM,22,210.12070563725985,111.6176528930664,0.9582987427711487,295.9232375127036
LSTM,23,202.29371244245334,105.71390533447266,0.9674960970878601,285.1169442088632
LSTM,24,190.33174163811984,92.73149871826172,0.9766807556152344,259.32475416936194
GRU,1,103.79334090965325,48.300018310546875,0.9934113621711731,139.74220125824553
GRU,2,134.27408274449317,67.39020538330078,0.987203061580658,185.0340234760894
GRU,3,162.580226590213,82.53653717041016,0.9765433073043823,229.4766464152725
GRU,4,179.51752286510919,91.62628173828125,0.9695621728897095,253.4885506536735
GRU,5,182.05847704103206,93.61570739746094,0.9736742973327637,256.2535060735755
GRU,6,175.18733834277236,81.54618835449219,0.9802447557449341,238.21603410822286
GRU,7,178.7458150733885,77.9316635131836,0.9804598689079285,240.59699512358836
GRU,8,192.47979804709377,87.06324768066406,0.9737032651901245,265.2491605783136
GRU,9,202.77951388145698,99.94915008544922,0.9635037183761597,285.9263180873702
